['2015-01-17T22', '285419', 'TV419', '100', '3']
['2014-12-27T20', '756960', 'TV419', '25', '2']
['2015-01-02T21', '327061', 'TV419', '12', '1']
['2014-10-25T20', '159598', 'TV419', '37', '2']
['2014-10-31T00', '490327', 'TV419', '100', '3']
['2014-10-10T14', '446229', 'TV419', '12', '1']
['2014-10-15T00', '757381', 'TV419', '100', '3']
['2015-01-05T02', '389362', 'TV419', '100', '3']
['2014-12-04T14', '758726', 'TV419', '12', '1']
['2014-11-24T23', '451633', 'TV419', '300', '3']
['2015-01-22T02', '490690', 'TV419', '75', '2']
['2014-11-08T02', '755208', 'TV419', '12', '1']
['2014-10-06T00', '635787', 'TV419', '12', '1']
['2014-10-14T21', '168520', 'TV419', '12', '1']
['2014-10-05T11', '761133', 'TV419', '12', '1']
['2014-12-21T05', '469433', 'TV419', '12', '1']
['2014-11-17T14', '487022', 'TV419', '175', '3']
['2014-10-06T13', '812886', 'TV419', '12', '1']
['2015-01-18T08', '760686', 'TV419', '112', '3']
['2014-11-10T00', '727209', 'TV419', '300', '3']
['2014-10-06T14', '471625', 'TV419', '87', '3']
['2014-10-01T07', '761181', 'TV419', '12', '1']
['2014-10-01T13', '748604', 'TV419', '12', '1']
['2014-11-23T14', '334188', 'TV419', '25', '2']
['2014-10-01T17', '414183', 'TV419', '12', '1']
['2014-10-08T22', '686846', 'TV419', '300', '3']
['2014-10-02T06', '697353', 'TV419', '50', '2']
['2014-10-04T06', '810676', 'TV419', '100', '3']
['2014-11-12T19', '763115', 'TV419', '12', '1']
['2014-10-05T02', '763255', 'TV419', '37', '2']
['2014-10-04T10', '475957', 'TV419', '12', '1']
['2014-10-04T17', '474503', 'TV419', '100', '3']
['2014-10-04T20', '476947', 'TV419', '25', '2']
['2014-10-07T05', '689512', 'TV419', '25', '2']
['2014-10-08T01', '351376', 'TV419', '37', '2']
['2014-10-08T09', '715620', 'TV419', '100', '3']
['2014-10-11T16', '476004', 'TV419', '12', '1']
['2014-10-10T05', '762870', 'TV419', '12', '1']
['2014-10-28T01', '669380', 'TV419', '100', '3']
['2014-10-10T20', '680318', 'TV419', '12', '1']
['2015-01-03T19', '174963', 'TV419', '100', '3']
['2014-10-11T05', '479171', 'TV419', '25', '2']
['2014-12-22T00', '718640', 'TV419', '87', '3']
['2014-11-22T03', '765530', 'TV419', '100', '3']
['2014-10-12T03', '766012', 'TV419', '12', '1']
['2014-10-12T12', '354630', 'TV419', '75', '2']
['2014-10-15T13', '438520', 'TV419', '25', '2']
['2014-10-15T06', '765511', 'TV419', '162', '3']
['2014-11-01T03', '594350', 'TV419', '12', '1']
['2014-10-17T00', '479130', 'TV419', '50', '2']
['2014-10-17T21', '717334', 'TV419', '87', '3']
['2014-10-17T11', '477781', 'TV419', '87', '3']
['2014-10-17T19', '188469', 'TV419', '25', '2']
['2014-10-19T02', '766254', 'TV419', '100', '3']
['2014-10-19T18', '748722', 'TV419', '25', '2']
['2014-11-23T04', '517886', 'TV419', '25', '2']
['2014-10-11T13', '768254', 'TV419', '12', '1']
['2014-10-22T04', '520528', 'TV419', '100', '3']
['2014-10-26T15', '685161', 'TV419', '25', '2']
['2015-01-31T05', '364378', 'TV419', '87', '3']
['2014-10-24T23', '767363', 'TV419', '12', '1']
['2014-12-15T19', '703963', 'TV419', '187', '3']
['2014-10-24T16', '366044', 'TV419', '25', '2']
